7.0652,7.3152,0.216271,0.0755382
7.3152,7.5652,0.20402,0.0712595
7.5652,7.8152,0.151049,0.0527579
7.8152,8.0652,0.112048,0.0391356
8.0652,8.3152,0.0762307,0.0266256
8.3152,8.5652,0.0560568,0.0135117
8.5652,8.8152,0.0423269,0.0102622
8.8152,9.0652,0.0331105,0.00837041
9.0652,9.3152,0.0256968,0.00525948
9.3152,9.5652,0.0214038,0.00473875
9.5652,9.8152,0.0195365,0.00418913
9.8152,10.0652,0.0186109,0.00360372
10.0652,10.3152,0.0152146,0.00202494
10.3152,10.5652,0.0107248,0.0020906
10.5652,10.8152,0.00517901,0.000978219
10.8152,11.0652,0.00142977,0.000428163
11.0652,11.3152,0.000139376,0.00010439
